,date,event_cultural,event_national,event_religious,event_sport
0,2011-02-06,0,0,0,1
1,2011-02-14,1,0,0,0
2,2011-02-21,0,1,0,0
3,2011-03-09,0,0,1,0
4,2011-03-16,0,0,1,0
5,2011-03-17,1,0,0,0
6,2011-03-20,0,0,1,0
7,2011-04-24,1,0,1,0
8,2011-04-26,0,0,1,0
9,2011-05-05,1,0,0,0
10,2011-05-08,1,0,0,0
11,2011-05-30,0,1,0,0
12,2011-05-31,0,0,0,1
13,2011-06-12,0,0,0,1
14,2011-06-19,1,0,0,0
15,2011-07-04,0,1,0,0
16,2011-08-01,0,0,1,0
17,2011-08-31,0,0,1,0
18,2011-09-05,0,1,0,0
19,2011-10-10,0,1,0,0
20,2011-10-31,1,0,0,0
21,2011-11-07,0,0,1,0
22,2011-11-11,0,1,0,0
23,2011-11-24,0,1,0,0
24,2011-12-25,0,1,0,0
25,2011-12-28,0,0,1,0
26,2012-01-01,0,1,0,0
27,2012-01-07,0,0,1,0
28,2012-01-16,0,1,0,0
29,2012-02-05,0,0,0,1
30,2012-02-14,1,0,0,0
31,2012-02-20,0,1,0,0
32,2012-02-22,0,0,1,0
33,2012-02-29,0,0,1,0
34,2012-03-08,0,0,1,0
35,2012-03-17,1,0,0,0
36,2012-04-08,1,0,0,0
37,2012-04-14,0,0,1,0
38,2012-04-15,0,0,1,0
39,2012-05-05,1,0,0,0
40,2012-05-13,1,0,0,0
41,2012-05-28,0,1,0,0
42,2012-06-12,0,0,0,1
43,2012-06-17,1,0,0,0
44,2012-06-21,0,0,0,1
45,2012-07-04,0,1,0,0
46,2012-07-20,0,0,1,0
47,2012-08-19,0,0,1,0
48,2012-09-03,0,1,0,0
49,2012-10-08,0,1,0,0
50,2012-10-26,0,0,1,0
51,2012-10-31,1,0,0,0
52,2012-11-11,0,1,0,0
53,2012-11-22,0,1,0,0
54,2012-12-16,0,0,1,0
55,2012-12-25,0,1,0,0
56,2013-01-01,0,1,0,0
57,2013-01-07,0,0,1,0
58,2013-01-21,0,1,0,0
59,2013-02-03,0,0,0,1
60,2013-02-13,0,0,1,0
61,2013-02-14,1,0,0,0
62,2013-02-18,0,1,0,0
63,2013-02-20,0,0,1,0
64,2013-02-24,0,0,1,0
65,2013-03-17,1,0,0,0
66,2013-03-31,1,0,0,0
67,2013-04-02,0,0,1,0
68,2013-05-05,1,0,1,0
69,2013-05-12,1,0,0,0
70,2013-05-27,0,1,0,0
71,2013-06-06,0,0,0,1
72,2013-06-16,1,0,0,0
73,2013-06-20,0,0,0,1
74,2013-07-04,0,1,0,0
75,2013-07-09,0,0,1,0
76,2013-08-08,0,0,1,0
77,2013-09-02,0,1,0,0
78,2013-10-14,0,1,0,0
79,2013-10-15,0,0,1,0
80,2013-10-31,1,0,0,0
81,2013-11-11,0,1,0,0
82,2013-11-28,0,1,0,0
83,2013-12-05,0,0,1,0
84,2013-12-25,0,1,0,0
85,2014-01-01,0,1,0,0
86,2014-01-07,0,0,1,0
87,2014-01-20,0,1,0,0
88,2014-02-02,0,0,0,1
89,2014-02-14,1,0,0,0
90,2014-02-17,0,1,0,0
91,2014-03-05,0,0,1,0
92,2014-03-12,0,0,1,0
93,2014-03-16,0,0,1,0
94,2014-03-17,1,0,0,0
95,2014-04-20,1,0,1,0
96,2014-04-22,0,0,1,0
97,2014-05-05,1,0,0,0
98,2014-05-11,1,0,0,0
99,2014-05-26,0,1,0,0
100,2014-06-05,0,0,0,1
101,2014-06-15,1,0,0,1
102,2014-06-29,0,0,1,0
103,2014-07-04,0,1,0,0
104,2014-07-29,0,0,1,0
105,2014-09-01,0,1,0,0
106,2014-10-04,0,0,1,0
107,2014-10-13,0,1,0,0
108,2014-10-31,1,0,0,0
109,2014-11-11,0,1,0,0
110,2014-11-27,0,1,0,0
111,2014-12-24,0,0,1,0
112,2014-12-25,0,1,0,0
113,2015-01-01,0,1,0,0
114,2015-01-07,0,0,1,0
115,2015-01-19,0,1,0,0
116,2015-02-01,0,0,0,1
117,2015-02-14,1,0,0,0
118,2015-02-16,0,1,0,0
119,2015-02-18,0,0,1,0
120,2015-02-25,0,0,1,0
121,2015-03-05,0,0,1,0
122,2015-03-17,1,0,0,0
123,2015-04-05,1,0,0,0
124,2015-04-11,0,0,1,0
125,2015-04-12,0,0,1,0
126,2015-05-05,1,0,0,0
127,2015-05-10,1,0,0,0
128,2015-05-25,0,1,0,0
129,2015-06-04,0,0,0,1
130,2015-06-16,0,0,0,1
131,2015-06-18,0,0,1,0
132,2015-06-21,1,0,0,0
133,2015-07-04,0,1,0,0
134,2015-07-18,0,0,1,0
135,2015-09-07,0,1,0,0
136,2015-09-24,0,0,1,0
137,2015-10-12,0,1,0,0
138,2015-10-31,1,0,0,0
139,2015-11-11,0,1,0,0
140,2015-11-26,0,1,0,0
141,2015-12-14,0,0,1,0
142,2015-12-25,0,1,0,0
143,2016-01-01,0,1,0,0
144,2016-01-07,0,0,1,0
145,2016-01-18,0,1,0,0
146,2016-02-07,0,0,0,1
147,2016-02-10,0,0,1,0
148,2016-02-14,1,0,0,0
149,2016-02-15,0,1,0,0
150,2016-02-17,0,0,1,0
151,2016-03-17,1,0,0,0
152,2016-03-24,0,0,1,0
153,2016-03-27,1,0,0,0
154,2016-04-30,0,0,1,0
155,2016-05-01,0,0,1,0
156,2016-05-05,1,0,0,0
157,2016-05-08,1,0,0,0
158,2016-05-30,0,1,0,0
159,2016-06-02,0,0,0,1
160,2016-06-07,0,0,1,0
161,2016-06-19,1,0,0,1
